,df_path
37,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_37.csv
38,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_38.csv
39,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_39.csv
40,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_40.csv
41,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_41.csv
42,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_42.csv
43,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_43.csv
44,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_44.csv
45,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_45.csv
46,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_46.csv
47,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_47.csv
48,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_48.csv
49,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_49.csv
50,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_50.csv
51,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_51.csv
52,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_52.csv
53,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_53.csv
54,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_54.csv
55,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_55.csv
56,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_56.csv
57,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_57.csv
58,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_58.csv
59,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_59.csv
60,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_60.csv
61,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_61.csv
62,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_62.csv
63,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_63.csv
64,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_64.csv
65,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_65.csv
66,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_66.csv
67,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_67.csv
68,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_68.csv
69,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_69.csv
70,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_70.csv
71,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_71.csv
72,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_72.csv
73,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_73.csv
74,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_74.csv
75,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_75.csv
76,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_76.csv
77,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_77.csv
78,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_78.csv
79,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_79.csv
80,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_80.csv
81,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_81.csv
82,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_82.csv
83,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_83.csv
84,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_84.csv
85,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_85.csv
86,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_86.csv
87,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_87.csv
88,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_88.csv
89,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_89.csv
90,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_90.csv
91,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_91.csv
92,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_92.csv
93,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_93.csv
94,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_94.csv
95,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_95.csv
96,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_96.csv
97,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_97.csv
98,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_98.csv
99,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_99.csv
100,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_0.csv
101,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_1.csv
102,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_2.csv
103,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_3.csv
104,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_4.csv
105,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_5.csv
106,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_6.csv
107,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_7.csv
108,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_8.csv
109,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_9.csv
110,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_10.csv
111,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_11.csv
112,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_12.csv
113,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_13.csv
114,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_14.csv
115,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_15.csv
116,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_16.csv
117,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_17.csv
118,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_18.csv
119,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_19.csv
120,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_20.csv
121,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_21.csv
122,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_22.csv
123,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_23.csv
124,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_24.csv
125,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_25.csv
126,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_26.csv
127,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_27.csv
128,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_28.csv
129,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_29.csv
130,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_30.csv
131,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_31.csv
132,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_32.csv
133,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_33.csv
134,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_34.csv
135,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_35.csv
136,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_36.csv
137,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_37.csv
138,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_38.csv
139,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_39.csv
140,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_40.csv
141,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_41.csv
142,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_42.csv
143,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_43.csv
144,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_44.csv
145,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_45.csv
146,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_46.csv
147,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_47.csv
148,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_48.csv
149,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_49.csv
150,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_50.csv
151,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_51.csv
152,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_52.csv
153,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_53.csv
154,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_54.csv
155,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_55.csv
156,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_56.csv
157,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_57.csv
158,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_58.csv
159,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_59.csv
160,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_60.csv
161,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_61.csv
162,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_62.csv
163,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_63.csv
164,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_64.csv
165,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_65.csv
166,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_66.csv
167,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_67.csv
168,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_68.csv
169,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_69.csv
170,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_70.csv
171,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_71.csv
172,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_72.csv
173,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_73.csv
174,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_74.csv
175,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_75.csv
176,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_76.csv
177,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_77.csv
178,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_78.csv
179,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_79.csv
180,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_80.csv
181,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_81.csv
182,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_82.csv
183,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_83.csv
184,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_84.csv
185,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_85.csv
186,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_86.csv
187,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_87.csv
188,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_88.csv
189,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_89.csv
190,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_90.csv
191,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_91.csv
192,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_92.csv
193,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_93.csv
194,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_94.csv
195,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_95.csv
196,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_96.csv
197,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_97.csv
198,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_98.csv
199,data/cancer_example/llama-3-8b/10k/llama-3-8b_bcancer_10k_99.csv
